1706.08198,What parallel corpus did they use?,"Asian Scientific Paper Excerpt Corpus (ASPEC) BIBREF0,NTCIR PatentMT Parallel Corpus BIBREF1|",experiment,"We used two parallel corpora: Asian Scien-
tific Paper Excerpt Corpus (ASPEC) (Nakazawa
et al., 2016) and NTCIR PatentMT Parallel Corpus
(Goto et al., 2013). Regarding the training data of
ASPEC, we used only the first 1 million sentences
sorted by sentence-alignment similarity. Japanese
sentences were segmented by the morphological
analyzer MeCab (version 0.996, IPADIC), and En-
glish sentences were tokenized by tokenizer.perl
of Moses. Table 1 shows the numbers of the sen-
tences in each corpus. Note that sentences with
more than 40 words were excluded from the train-
ing data."
1706.01875,What was the baseline?,"stochastic gradient descent, naive bayes, decision tree",methodology,"Classifier selection methodology. To identify the
most suitable classifier for classifying the scalars as-
sociated with each text, we perform evaluations us-
ing the stochastic gradient descent, naive bayes, deci-
sion tree, and random forest classifiers."
1706.01875,What was their system's performance?,accuracy and F1-score of 89.6% and 89.2% respectively,methodology,"Real-world classifier performance. To evaluate real-
world performance of our selected classifier (i.e., per-
formance in the absence of model and parameter bias),
we perform classification of the holdout set. On this set,
our classifier had an accuracy and F1-score of 89.6% and
89.2%, respectively. These results show that in addition
to superior accuracy during training and validation, our
chosen classifier is also robust against over-fitting."
1706.01875,What other political events are included in the database?,"US presidential primaries, Democratic and Republican National Conventions| ",result_discussion,"We find that on average
8.4% of all political comments are offensive compared to
7.8% of all apolitical comments. Figure 4 illustrates the
fraction of offensive political and apolitical comments
made during each week in our study. We see that while
the fraction of apolitical offensive comments has stayed
steady, there has been an increase in the fraction of of-
fensive political comments starting in July 2016. No-
tably, this increase is observed after the conclusion of the
US presidential primaries and during the period of the
Democratic and Republican National Conventions and
does not reduce even after the conclusion of the US presi-
dential elections held on November 8."
1706.01875,What classifier did they use?,Random Forest,methodology,"Based on the results of
this evaluation, we select a 100-estimator entropy-based
splitting random forest model as our classifier."
1801.02243,Do the authors give any examples of major events which draw the public's attention and the impact they have on stock price?,Yes,background,"The number of Tweets varies everyday from a couple of
hundreds to over ten thousands, depends on if the company
has a major event that attracts the public attention. The
sentiment scores are normalized between 0 to 1, and features
based on the sentiment score is constructed and normalized.
Figure 2 shows the relationship between Tesla stock return
and stock sentiment score. According the distribution of the
sentiment score, the sentiment on Tesla is slightly skewed
towards positive during the testing period. The price has
been increased significantly during the testing period, which
reflected the positive sentiment. The predicting power of
sentiment score is more significant when the sentiment is
more extreme and less so when the sentiment is neutral."
1801.02243,Which tweets are used to output the daily sentiment signal?,Tesla and Ford are investigated on how Twitter sentiment could impact the stock price,introduction,"For this reason, two companies from the same industry,
Tesla and Ford are investigated on how Twitter sentiment
could impact the stock price. Tesla is an electronic car
company that shows consecutive negative operating cash flow
and net income but carries very high expectation from the
public. Ford, is a traditional auto maker whose stock prices
has been stabilized to represent the company fundamentals."
1801.02243,What is the baseline machine learning prediction approach?,linear logistic regression to a set of stock technical signals,methodology,"To evaluate if the sentiment feature improves the pre-
diction accuracy, a baseline model is defined. The baseline
applies linear logistic regression to a set of stock technical
signals to predict the following days stock return sign (+/).
No sentiment features are provided to the baseline model."
1801.02073,Do they employ their indexing-based method to create a sample of a QA Wikipedia dataset?,Yes,abstract,"This paper gives comprehensive analyses
of corpora based on Wikipedia for several
tasks in question answering. Four recent
corpora are collected, WIKIQA, SELQA,
SQUAD, and INFOBOXQA, and first an-
alyzed intrinsically by contextual similari-
ties, question types, and answer categories.
These corpora are then analyzed extrinsi-
cally by three question answering tasks, an-
swer retrieval, selection, and triggering. An
indexing-based method for the creation of a
silver-standard dataset for answer retrieval
using the entire Wikipedia is also presented.
Our analysis shows the uniqueness of these
corpora and suggests a better use of them
for statistical question answering learning."
1801.02073,How many question types do they find in the datasets analyzed?,"Seven,7.",experiment,"Fig. 1 shows the distributions of seven question
types grouped deterministically from the lexicons.
Although these corpora have been independently
developed, a general trend is found, where the what
question type dominates, followed by how and who,
followed by when and where, and so on."
1801.02073,How do they analyze contextual similaries across datasets?,They compare the tasks that the datasets are suitable for  average number of answer candidates per question number of token types average answer candidate lengths average question lengths question-answer word overlap.| | ,introduction,"In this paper, we make both intrinsic and extrinsic
analyses of four latest corpora based on Wikipedia,
WIKIQA, SELQA, SQUAD, and INFOBOXQA.
We first give a thorough intrinsic analysis regarding
contextual similarities, question types, and answer
categories (Section 2). We then map questions in all
corpora to the current version of English Wikipedia
and benchmark another selection-based QA task,
answer retrieval (Section 3). Finally, we present
an extrinsic analysis through a set of experiments
cross-testing these corpora using a convolutional
neural network architecture (Section 4).1"
1707.02377,Which language models do they compare against?,RNNLM BIBREF11,experiment,"We also include
RNNLM (Mikolov et al., 2010), a recurrent neural network based language model in the compar-
ison. In the semantic relatedness task, we further compare to LSTM-based methods (Tai et al.,
2015) that have been reported on this dataset."
1707.02377,Is their approach similar to making an averaged weighted sum of word vectors where weights reflect word frequencies?,Different from their work we choose to corrupt the original document by randomly removing significant portion of words and represent the document using only the embeddings of the words remained.,methodology,"Huang et al. (2012) also proposed the idea of using average of word embeddings to represent the
global context of a document. Different from their work, we choose to corrupt the original document
by randomly removing significant portion of words, and represent the document using only the
embeddings of the words remained. This corruption mechanism offers us great speedup during
training as it significantly reduces the number of parameters to update in back propagation. At the
same time, as we are going to detail in the next section, it introduces a special form of regularization,
which brings great performance improvement."
1707.02377,How do they determine which words are informative?,Informative are those that will not be suppressed by regularization performed.,experiment,"Data dependent regularization. As explained in Section 3.1, the corruption introduced in
Doc2VecC acts as a data-dependent regularization that suppresses the embeddings of frequent but
uninformative words. Here we conduct an experiment to exam the effect. We used a cutoff of 100
in this experiment. Table 3 lists the words having the smallest l2 norm of embeddings found by
different algorithms. The number inside the parenthesis after each word is the number of times this
word appears in the learning set. In word2Vec or Paragraph Vectors, the least frequent words have
embeddings that are close to zero, despite some of them being indicative of sentiment such as deba-
cle, bliss and shabby. In contrast, Doc2VecC manages to clamp down the representation of words
frequently appear in the training set, but are uninformative, such as symbols and stop words."
